x,y,z,time,label
6.89484375,-6.473492188,-13.36833594,1675381109,0
14.4025625,-3.3708125,-7.890765625,1675381109,0
10.64870313,-2.681328125,-6.626710938,1675381109,0
10.1124375,-2.374890625,-6.167054687,1675381109,0
9.882609375,-2.106757813,-5.8223125,1675381109,0
9.691085938,-1.915234375,-5.745703125,1675381109,0
9.882609375,-1.800320312,-5.017914062,1675381109,0
9.844304688,-1.68540625,-5.171132813,1675381109,0
9.844304688,-1.608796875,-5.286046875,1675381109,0
9.65278125,-1.417273437,-5.171132813,1675381109,0
9.34634375,-1.264054687,-5.515875,1675381109,0
9.116515625,-1.149140625,-5.017914062,1675381109,0
8.848382812,-1.07253125,-4.864695312,1675381109,0
8.350421875,-0.995921875,-4.711476563,1675381109,0
7.737546875,-0.957617188,-4.481648438,1675381109,0
7.546023438,-0.727789063,-4.13690625,1675381109,0
7.124671875,-0.574570312,-4.405039062,1675381109,0
6.779929687,-0.497960938,-4.328429688,1675381109,0
6.511796875,-0.45965625,-4.213515625,1675381109,0
6.396882813,-0.45965625,-4.366734375,1675381109,0
6.243664063,-0.383046875,-4.13690625,1675381109,0
6.167054687,-0.45965625,-4.290125,1675381109,0
6.205359375,-0.612875,-4.328429688,1675381109,0
6.205359375,-0.612875,-3.9836875,1675381109,0
6.28196875,-0.574570312,-3.9836875,1675381109,0
6.396882813,-0.727789063,-4.366734375,1675381109,0
6.358578125,-0.651179688,-4.251820313,1675381109,0
6.320273437,-0.727789063,-4.405039062,1675381109,0
6.511796875,-0.76609375,-4.366734375,1675381109,0
6.511796875,-0.995921875,-4.290125,1675381109,0
6.511796875,-1.034226563,-3.792164063,1675381109,0
6.550101562,-0.995921875,-4.251820313,1675381109,0
6.856539063,-1.302359375,-4.673171875,1675381109,0
7.0480625,-1.37896875,-4.826390625,1675381109,0
7.316195313,-1.5321875,-5.05621875,1675381109,0
7.50771875,-1.570492188,-5.286046875,1675381109,0
7.6609375,-1.493882813,-5.36265625,1675381109,0
7.6609375,-1.608796875,-5.324351563,1675381109,0
7.929070312,-1.608796875,-5.400960938,1675381109,0
7.967375,-1.608796875,-5.439265625,1675381109,0
8.082289063,-1.417273437,-5.554179688,1675381109,0
8.235507813,-1.37896875,-5.66909375,1675381109,0
8.2738125,-1.302359375,-5.8223125,1675381109,0
8.312117188,-1.110835938,-5.630789063,1675381109,0
8.350421875,-1.034226563,-5.592484375,1675381109,0
8.312117188,-0.76609375,-5.36265625,1675381109,0
8.350421875,-0.804398438,-5.554179688,1675381109,0
7.967375,-0.651179688,-5.247742187,1675381109,0
8.005679687,-0.574570312,-5.247742187,1675381109,0
8.2738125,-0.536265625,-4.903,1675381109,0
8.235507813,-0.536265625,-5.132828125,1675381109,0
8.235507813,-0.536265625,-5.171132813,1675381109,0
8.082289063,-0.536265625,-5.171132813,1675381109,0
8.12059375,-0.612875,-5.05621875,1675381109,0
8.043984375,-0.76609375,-5.2094375,1675381109,0
7.775851563,-0.842703125,-5.247742187,1675381109,0
7.81415625,-0.957617188,-5.286046875,1675381109,0
7.622632812,-0.957617188,-5.132828125,1675381109,0
7.6609375,-1.07253125,-5.247742187,1675381109,0
7.50771875,-1.110835938,-5.171132813,1675381109,0
7.50771875,-1.187445313,-5.36265625,1675381109,0
7.239585937,-1.417273437,-5.36265625,1675381109,0
7.392804687,-1.570492188,-5.324351563,1675381109,0
7.469414062,-1.647101562,-5.247742187,1675381109,0
7.584328125,-1.68540625,-5.171132813,1675381109,0
7.699242187,-1.838625,-4.941304688,1675381109,0
8.005679687,-1.953539063,-5.439265625,1675381109,0
7.929070312,-2.29828125,-5.860617188,1675381109,0
7.967375,-2.413195313,-6.052140625,1675381109,0
8.12059375,-2.4515,-6.013835938,1675381109,0
8.350421875,-2.566414063,-5.860617188,1675381109,0
8.42703125,-2.643023438,-5.97553125,1675381109,0
8.503640625,-2.643023438,-6.013835938,1675381109,0
8.465335937,-2.719632813,-6.052140625,1675381109,0
8.656859375,-2.7579375,-6.167054687,1675381109,0
8.924992188,-2.7579375,-6.243664063,1675381109,0
9.116515625,-2.719632813,-6.550101562,1675381109,0
9.231429688,-2.7579375,-6.665015625,1675381109,0
9.34634375,-2.7579375,-6.58840625,1675381109,0
9.422953125,-2.796242188,-6.396882813,1675381109,0
9.461257813,-2.719632813,-6.28196875,1675381109,0
